timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-02-17,317863.94143000,340411.67655600,316657.72180000,337183.25187400,49133.45000000,52618.74000000,48947.00000000,52119.71000000,85743.63781800,85743.63781800
2021-02-16,309956.07034000,327928.58109200,304085.21922800,317863.94143000,47911.10000000,50689.18000000,47003.62000000,49133.45000000,88813.26629800,88813.26629800
2021-02-15,314286.49261800,317071.24584800,294815.66882600,309956.07034000,48580.47000000,49010.92000000,45570.79000000,47911.10000000,79398.15678400,79398.15678400
2021-02-14,305076.07253200,321577.24764200,304153.47139800,314269.15462600,47156.78000000,49707.43000000,47014.17000000,48577.79000000,73735.47553300,73735.47553300
2021-02-13,305990.65161000,311501.61000000,298902.64758200,305056.08208600,47298.15000000,48150.00000000,46202.53000000,47153.69000000,63768.09739900,63768.09739900
2021-02-12,310328.44900400,316908.73452000,298401.07500000,305922.39944000,47968.66000000,48985.80000000,46125.00000000,47287.60000000,85870.03569700,85870.03569700
2021-02-11,289878.15805200,314923.27566000,284614.91298800,310333.94799400,44807.58000000,48678.90000000,43994.02000000,47969.51000000,89561.08145400,89561.08145400
2021-02-10,300312.26514800,306067.31400000,282887.45380000,289878.15805200,46420.42000000,47310.00000000,43727.00000000,44807.58000000,97154.18220000,97154.18220000
2021-02-09,300017.51928400,311451.08398600,290871.27564600,300312.26514800,46374.86000000,48142.19000000,44961.09000000,46420.42000000,115499.86171200,115499.86171200
2021-02-08,250984.83688600,302732.01483000,245765.32496600,300017.58397800,38795.69000000,46794.45000000,37988.89000000,46374.87000000,138597.53691400,138597.53691400
2021-02-07,253477.62609400,256835.18000000,241638.55940000,250984.83688600,39181.01000000,39700.00000000,37351.00000000,38795.69000000,84363.67976300,84363.67976300
2021-02-06,247708.92680800,264957.57639400,247234.20223600,253515.98963600,38289.32000000,40955.51000000,38215.94000000,39186.94000000,98757.31118300,98757.31118300
2021-02-05,238957.96351000,247843.49032800,236585.95800000,247714.87865600,36936.65000000,38310.12000000,36570.00000000,38290.24000000,66681.33427500,66681.33427500
2021-02-04,243380.51004400,250419.28193800,233946.11933000,238958.02820400,37620.26000000,38708.27000000,36161.95000000,36936.66000000,92080.73589800,92080.73589800
2021-02-03,229487.15007400,243654.61852200,228773.38117200,243371.51757800,35472.71000000,37662.63000000,35362.38000000,37618.87000000,80784.33366300,80784.33366300
2021-02-02,216835.46204600,232797.02450200,216194.40920000,229445.29305600,33517.09000000,35984.33000000,33418.00000000,35466.24000000,78056.65988000,78056.65988000
